fact_id,date_id,state_id,disease_id,source_id,population_under_surveillance,total_reported_cases,active_cases,recovered_cases,deaths,urban_cases,rural_cases,hospitalized_cases,icu_admissions,case_fatality_rate,recovery_rate,public_health_risk_score,report_date_raw
1,1,1,1,6,46850798,2091,139,1889.0,63.0,1368,723,143.0,42.0,3.01,90.34,31.3,2022-01-01
2,1,1,2,6,46330962,2357,180,2101.0,76.0,1039,1318,505.0,81.0,3.22,89.14,32.1,2022-01-01
3,1,1,3,2,49588439,2936,427,2430.0,79.0,1941,995,716.0,195.0,2.69,82.77,32.3,2022-01-01
4,1,1,4,1,47346875,335,21,306.0,8.0,166,169,81.0,10.0,2.39,91.34,10.0,2022-01-01
5,1,1,5,5,52543820,310,30,,2.0,195,115,42.0,10.0,0.65,89.68,2.9,01-01-2022
6,1,1,6,4,51190319,1123,101,1010.0,12.0,396,727,87.0,8.0,1.07,89.94,16.5,01/01/2022
7,1,1,7,1,50384933,1061,115,928.0,18.0,655,406,82.0,6.0,1.7,87.46,14.7,2022-01-01
8,1,1,8,5,49117954,1275,137,1113.0,25.0,668,607,141.0,8.0,1.96,87.29,14.9,2022-01-01
9,1,1,9,5,51185974,1091,202,885.0,4.0,624,467,118.0,25.0,0.37,81.12,14.1,2022-01-01
10,1,1,10,6,49865947,1009,241,761.0,7.0,539,470,68.0,15.0,0.69,75.42,8.0,2022-01-01
11,1,1,11,4,46769077,771,117,642.0,12.0,381,390,85.0,17.0,1.56,83.27,7.7,2022-01-01
12,1,1,12,5,48016073,2299,384,1858.0,57.0,1463,836,560.0,137.0,2.48,80.82,28.3,2022-01-01
13,1,2,1,1,1542044,25,6,19.0,0.0,10,15,2.0,0.0,0.0,76.0,11.4,2022-01-01
14,1,2,2,2,1478557,84,10,73.0,,43,41,15.0,1.0,1.19,86.9,25.2,2022-01-01
15,1,2,3,3,1501819,51,7,44.0,0.0,29,22,4.0,1.0,0.0,86.27,14.4,2022-01-01
16,1,2,4,2,1497214,5,1,,0.0,2,3,0.0,0.0,0.0,80.0,5.9,2022-01-01
17,1,2,5,3,1393659,23,4,19.0,0.0,15,8,3.0,0.0,0.0,82.61,11.1,2022-01-01
18,1,2,6,4,1579842,14,3,11.0,0.0,9,5,2.0,0.0,0.0,78.57,0.5,01-01-2022
19,1,2,7,3,1429820,13,3,10.0,0.0,6,7,2.0,0.0,0.0,76.92,8.6,2022-01-01
20,1,2,8,1,1539665,27,6,21.0,0.0,20,7,1.0,0.0,0.0,77.78,12.4,2022-01-01
21,1,2,9,5,1539229,45,9,36.0,0.0,22,23,9.0,1.0,0.0,80.0,10.0,2022-01-01
22,1,2,10,4,1569894,14,4,10.0,0.0,5,9,3.0,0.0,0.0,71.43,5.4,01/01/2022
23,1,2,11,3,1391637,17,1,16.0,0.0,6,11,2.0,0.0,0.0,94.12,2.6,2022-01-01
24,1,2,12,5,1537356,23,3,20.0,0.0,15,8,3.0,0.0,0.0,86.96,9.3,2022-01-01
25,1,3,1,3,30392749,610,80,523.0,7.0,283,327,,32.0,1.15,85.74,16.3,2022-01-01
26,1,3,2,6,34555287,1532,328,1196.0,8.0,901,631,205.0,59.0,0.52,78.07,27.4,01/01/2022
27,1,3,3,6,33496124,1114,250,862.0,2.0,493,621,240.0,59.0,0.18,77.38,16.5,2022-01-01
28,1,3,4,3,31583463,1186,181,987.0,18.0,826,360,160.0,34.0,1.52,83.22,20.8,2022-01-01
29,1,3,5,2,31917187,241,49,186.0,6.0,98,143,15.0,2.0,2.49,77.18,14.1,2022-01-01
30,1,3,6,4,31192585,321,59,260.0,2.0,115,206,25.0,1.0,0.62,81.0,1.9,2022-01-01
31,1,3,7,6,30492156,270,39,225.0,6.0,189,81,30.0,5.0,2.22,83.33,14.0,2022-01-01
32,1,3,8,2,30802927,586,68,513.0,5.0,292,294,78.0,4.0,0.85,87.54,11.0,2022-01-01
33,1,3,9,2,34422410,1052,207,811.0,34.0,780,272,230.0,63.0,3.23,77.09,27.5,2022-01-01
34,1,3,10,6,33675267,753,96,653.0,4.0,402,351,115.0,30.0,0.53,86.72,11.0,2022-01-01
35,1,3,11,6,32286338,533,76,448.0,9.0,264,269,51.0,7.0,1.69,84.05,10.8,01/01/2022
36,1,3,12,6,33744816,976,16,928.0,32.0,550,426,142.0,18.0,3.28,95.08,27.0,2022-01-01
37,1,4,1,6,108552965,6237,1022,5073.0,142.0,3916,2321,1228.0,123.0,2.28,81.34,35.4,2022-01-01
38,1,4,2,4,117193727,6559,1348,5041.0,170.0,4811,1748,1555.0,131.0,2.59,76.86,37.1,2022-01-01
39,1,4,3,6,116655875,5445,878,4387.0,180.0,3247,2198,914.0,67.0,3.31,80.57,28.5,2022-01-01
40,1,4,4,2,108321412,841,53,772.0,16.0,496,345,176.0,30.0,1.9,91.8,13.4,2022-01-01
41,1,4,5,1,120354601,1204,163,1013.0,28.0,582,622,246.0,53.0,2.33,84.14,15.8,2022-01-01
42,1,4,6,1,119739716,978,199,767.0,12.0,513,465,77.0,21.0,1.23,78.43,6.4,2022-01-01
43,1,4,7,4,108297918,1783,209,1525.0,49.0,1135,648,223.0,66.0,2.75,85.53,19.9,2022-01-01
44,1,4,8,2,111609120,2918,335,2566.0,17.0,1551,1367,546.0,28.0,0.58,87.94,16.7,2022-01-01
45,1,4,9,5,111394765,1814,66,1727.0,21.0,1358,456,374.0,29.0,1.16,95.2,14.5,2022-01-01
46,1,4,10,3,110588301,4081,281,3658.0,142.0,2892,1189,734.0,53.0,3.48,89.63,22.1,2022-01-01
47,1,4,11,4,117422919,1646,68,1564.0,14.0,579,1067,298.0,17.0,0.85,95.02,4.7,2022-01-01
48,1,4,12,6,121766989,2643,549,2015.0,79.0,1741,902,555.0,156.0,2.99,76.24,21.5,2022-01-01
49,1,5,1,3,28229679,352,47,303.0,2.0,243,109,70.0,14.0,0.57,86.08,4.2,2022-01-01
50,1,5,2,6,28889082,607,6,586.0,15.0,362,245,104.0,6.0,2.47,96.54,13.2,2022-01-01
