fact_id,date_id,state_id,program_id,program_coverage_pct,people_screened,beneficiaries_reached,maternal_health_beneficiaries,child_immunization_count,children_population,adults_population,elderly_population,high_risk_individuals,chronic_disease_patients,health_vulnerability_index,socioeconomic_score
1,1,1,1,85.0,135857,115673,18060,8431493,13215224,31231346,6957695,19425,16015,25.0,42.9
2,1,1,2,65.6,146606,102320,33298,11757218,13215224,31231346,6957695,21466,8878,49.9,45.2
3,1,1,3,44.1,113323,97228,21849,11858458,13215224,31231346,6957695,8402,16404,52.5,37.9
4,1,1,4,59.1,128387,86287,18308,8340853,13215224,31231346,6957695,18276,3194,48.8,40.9
5,1,1,5,67.4,43864,20970,5091,9117993,13215224,31231346,6957695,1982,3710,30.5,62.7
6,1,1,6,71.6,114199,49638,16072,12897506,13215224,31231346,6957695,11016,4973,53.1,63.2
7,1,2,1,98.3,1521,29447,291,339137,428284,921925,192916,158,159,51.8,68.0
8,1,2,2,37.5,1554,980,168,290925,428284,921925,192916,207,107,39.8,34.8
9,1,2,3,98.6,2358,1029,306,326013,428284,921925,192916,98,105,62.5,40.4
10,1,2,4,74.0,2233,1889,524,336055,428284,921925,192916,327,58,57.4,72.6
11,1,2,5,36.7,1828,924,258,268029,428284,921925,192916,160,104,31.6,58.3
12,1,2,6,41.1,3962,2905,632,273212,428284,921925,192916,376,106,46.4,49.1
13,1,3,1,82.8,97972,84493,28525,8761125,9873008,21191808,4528133,12282,11871,63.4,34.8
14,1,3,2,69.3,53312,23077,4815,7470562,9873008,21191808,4528133,3794,1619,81.0,64.4
15,1,3,3,37.5,72403,29147,8571,8828953,9873008,21191808,4528133,2869,2547,40.4,77.4
16,1,3,4,67.0,51382,23561,3142,7571198,9873008,21191808,4528133,4241,2820,42.7,29.8
17,1,3,5,41.5,82534,59015,19276,9650088,9873008,21191808,4528133,2954,5245,57.7,64.0
18,1,3,6,69.1,57664,31343,7361,5978415,9873008,21191808,4528133,5184,1429,23.7,76.9
19,1,4,1,49.6,115883,49238,10876,18574205,30532941,70386751,13517862,11676,5396,100.0,68.4
20,1,4,2,37.2,69284,35891,6995,29126007,30532941,70386751,13517862,6778,2149,50.2,34.2
21,1,4,3,72.0,115406,67149,16026,24864371,30532941,70386751,13517862,10453,9299,30.5,57.8
22,1,4,4,89.0,111447,97796,19038,23236793,30532941,70386751,13517862,17328,15425,13.7,36.8
23,1,4,5,98.5,170992,92470,26991,22120429,30532941,70386751,13517862,22466,12198,28.2,0.0
24,1,4,6,85.1,150244,100837,33496,23407125,30532941,70386751,13517862,9638,15947,64.9,57.1
25,1,5,1,48.0,20873,17922,3330,4591226,7141922,16403404,2836515,4078,2152,52.8,36.5
26,1,5,2,73.3,18590,12423,1759,4710992,7141922,16403404,2836515,982,633,59.6,76.7
27,1,5,3,37.5,44125,23231,4691,4967321,7141922,16403404,2836515,1339,2762,49.1,50.9
28,1,5,4,95.1,59817,46880,14698,6587071,7141922,16403404,2836515,6248,3695,76.1,49.4
29,1,5,5,38.9,67436,50731,6958,5060066,7141922,16403404,2836515,6667,6450,57.3,59.8
30,1,5,6,38.8,75137,45969,5534,5020299,7141922,16403404,2836515,5518,2128,54.3,61.8
31,1,6,1,52.5,3995,2111,639,301937,392251,952345,141510,149,376,43.5,58.3
32,1,6,2,67.0,2791,1379,450,281089,392251,952345,141510,104,196,39.8,33.1
33,1,6,3,81.8,4632,29511,469,346040,392251,952345,141510,760,248,37.0,62.5
34,1,6,4,45.7,2512,1916,597,277256,392251,952345,141510,99,310,56.7,63.2
35,1,6,5,91.4,2567,1128,305,273856,392251,952345,141510,90,150,52.5,30.5
36,1,6,6,52.8,2868,1841,597,6613341,392251,952345,141510,317,91,40.5,61.0
37,1,7,1,45.2,204572,88774,19064,13079355,19972926,39175300,8322291,21639,11109,38.6,40.0
38,1,7,2,44.1,169509,79262,11297,17211013,19972926,39175300,8322291,17545,6023,70.5,98.7
39,1,7,3,80.0,127781,57874,13749,13615101,19972926,39175300,8322291,4151,9734,59.5,51.8
40,1,7,4,95.4,59302,52815,6653,12866486,19972926,39175300,8322291,12293,2514,80.3,36.4
41,1,7,5,96.4,51607,41583,14367,13317161,19972926,39175300,8322291,6791,5740,57.6,42.1
42,1,7,6,85.6,82973,42564,14361,17285779,19972926,39175300,8322291,6394,6040,49.8,38.2
43,1,8,1,47.3,36428,27809,2851,5874754,8618914,16830480,2654210,5359,4715,79.0,73.1
44,1,8,2,75.9,82248,40871,10655,8055578,8618914,16830480,2654210,3380,1750,52.6,70.6
45,1,8,3,91.5,24367,11587,2263,6396863,8618914,16830480,2654210,1245,777,49.1,75.2
46,1,8,4,61.7,80399,58488,7806,6478667,8618914,16830480,2654210,9116,5740,50.0,77.3
47,1,8,5,45.1,77059,55265,6128,7071278,8618914,16830480,2654210,13482,7536,52.6,29.4
48,1,8,6,68.0,18917,9195,1762,7555935,8618914,16830480,2654210,797,897,36.7,33.8
49,1,9,1,96.7,20442,16838,4103,1427575,2152427,4422671,959021,1475,1882,70.1,22.6
50,1,9,2,41.9,15862,12653,3113,1844861,2152427,4422671,959021,1869,1494,47.4,81.1
51,1,9,3,54.9,12234,6503,1882,1850355,2152427,4422671,959021,885,430,42.7,58.0
52,1,9,4,38.4,4717,1943,563,1374354,2152427,4422671,959021,309,136,56.7,78.6
53,1,9,5,96.3,17307,13816,4349,1366336,2152427,4422671,959021,2095,1360,18.6,72.9
54,1,9,6,54.9,19353,17297,2581,1418959,2152427,4422671,959021,1842,2359,49.9,56.6
55,1,10,1,45.8,89113,36462,4565,7023719,9910938,21964088,4246995,4356,2542,50.4,9.0
56,1,10,2,39.7,35362,20461,3625,6726814,9910938,21964088,4246995,2231,841,58.9,67.6
57,1,10,3,78.7,36698,26906,8536,8223654,9910938,21964088,4246995,3506,914,52.1,60.1
58,1,10,4,80.9,52880,32685,3882,8295651,9910938,21964088,4246995,6984,1456,46.3,65.1
59,1,10,5,65.1,91466,47165,16324,9614752,9910938,21964088,4246995,9866,7448,50.5,33.4
60,1,10,6,49.2,58725,29099,6694,6613341,9910938,21964088,4246995,5455,3956,62.1,53.5
61,1,11,1,66.75,168381,130627,29677,14414741,16248472,40535694,6407976,23071,17170,48.7,56.0
62,1,11,2,77.6,58277,49255,12802,11916717,16248472,40535694,6407976,6595,4000,57.7,68.2
63,1,11,3,78.2,41773,27681,6083,10758998,16248472,40535694,6407976,4545,4481,33.7,33.4
64,1,11,4,78.3,197301,177487,42104,10463709,16248472,40535694,6407976,29536,28444,85.3,39.6
65,1,11,5,88.3,183534,158337,32565,10290958,16248472,40535694,6407976,37401,24914,55.4,78.5
66,1,11,6,43.9,97846,71331,20935,10519412,16248472,40535694,6407976,17602,12519,22.7,69.6
67,1,12,1,90.6,80287,64921,14701,7657273,10147536,20237549,4709286,10026,6827,50.4,38.8
68,1,12,2,63.8,31719,15774,1581,9240471,10147536,20237549,4709286,2938,936,41.4,43.5
69,1,12,3,42.3,47803,36467,5798,9338867,10147536,20237549,4709286,8873,2458,72.0,67.9
70,1,12,4,94.7,30084,26662,4474,6375640,10147536,20237549,4709286,4044,933,42.3,39.1
71,1,12,5,49.0,98091,78514,17157,9557959,10147536,20237549,4709286,19329,8249,53.0,68.3
72,1,12,6,45.5,18226,10122,2422,8343307,10147536,20237549,4709286,1449,1785,23.6,62.4
73,1,13,1,53.0,52943,33086,4994,21291642,22505223,48707864,8290323,6372,5045,76.8,53.9
74,1,13,2,47.2,107523,64854,12308,20887654,22505223,48707864,8290323,7571,2723,75.3,60.3
75,1,13,3,93.2,170806,71868,7701,20873193,22505223,48707864,8290323,16290,8181,6.3,71.9
76,1,13,4,53.0,159582,69704,22603,21872937,22505223,48707864,8290323,11650,11148,48.0,65.6
77,1,13,5,54.0,44553,64391,15876,14646605,22505223,48707864,8290323,15819,2125,30.8,62.6
78,1,13,6,43.6,252764,156708,42072,21980275,22505223,48707864,8290323,36669,6017,75.3,61.3
79,1,14,1,84.8,297535,153416,25363,28920041,31601977,73895902,10789734,27524,15870,50.4,44.7
80,1,14,2,90.8,365278,166929,55740,24190565,31601977,73895902,10789734,32859,22588,48.8,68.5
81,1,14,3,64.1,77381,51628,12193,24460360,31601977,73895902,10789734,6695,3623,88.0,56.5
82,1,14,4,86.5,329584,255069,88871,28463638,31601977,73895902,10789734,63674,39448,60.8,28.5
83,1,14,5,39.8,89188,63613,18932,21400968,31601977,73895902,10789734,15661,2174,46.6,42.6
84,1,14,6,60.6,262663,207210,28571,28547019,31601977,73895902,10789734,51250,25204,79.7,28.2
85,1,15,1,94.1,4378,2497,653,516146,795115,1771892,377366,594,291,36.8,55.3
86,1,15,2,60.2,7564,4825,620,711638,795115,1771892,377366,663,328,52.5,63.7
87,1,15,3,59.6,5448,3150,454,680507,795115,1771892,377366,546,399,78.9,63.7
88,1,15,4,67.5,8436,28870,1654,694416,795115,1771892,377366,1504,989,45.6,62.1
89,1,15,5,45.8,4423,2771,752,528859,795115,1771892,377366,676,384,73.8,64.7
90,1,15,6,64.8,5593,2758,956,574190,795115,1771892,377366,354,330,20.3,42.1
91,1,16,1,74.3,6701,5725,1357,951370,980367,1891884,284968,1299,630,43.3,55.3
92,1,16,2,91.2,1713,811,203,605194,980367,1891884,284968,154,57,48.0,31.8
93,1,16,3,84.2,2248,1521,359,680842,980367,1891884,284968,204,120,35.3,68.4
94,1,16,4,71.4,3958,2202,589,769173,980367,1891884,284968,303,324,41.4,13.1
95,1,16,5,56.9,6337,5009,1210,653666,980367,1891884,284968,1091,285,40.5,60.9
96,1,16,6,57.2,3370,2615,618,769317,980367,1891884,284968,248,173,52.4,77.8
97,1,17,1,40.4,2924,2478,794,205843,326730,721184,127174,315,158,60.9,61.9
98,1,17,2,86.2,2603,2106,408,300730,326730,721184,127174,424,277,42.2,27.0
99,1,17,3,95.3,1041,868,91,237047,326730,721184,127174,72,46,50.1,82.1
100,1,17,4,97.3,1873,1453,462,308445,326730,721184,127174,285,45,16.9,43.0
101,1,17,5,74.4,2709,1200,370,210878,326730,721184,127174,64,117,66.1,31.7
102,1,17,6,80.4,1103,826,214,287344,326730,721184,127174,149,143,67.3,61.1
103,1,18,1,63.6,2334,1562,529,583427,607668,1214919,250851,3581,78,62.3,40.5
104,1,18,2,43.1,2687,2075,640,376415,607668,1214919,250851,394,357,70.5,75.4
105,1,18,3,97.8,4851,3339,754,407867,607668,1214919,250851,432,443,88.1,74.8
106,1,18,4,53.0,3072,1531,426,449129,607668,1214919,250851,259,93,58.8,41.0
107,1,18,5,95.8,44553,2411,711,507200,607668,1214919,250851,360,421,62.3,38.1
108,1,18,6,94.5,44526,3014,680,469684,607668,1214919,250851,719,228,70.0,29.9
109,1,19,1,75.0,116132,88068,27339,8519087,13013371,28275717,5486529,7965,14212,61.7,93.3
110,1,19,2,58.6,63869,42337,10180,10591574,13013371,28275717,5486529,9512,2899,57.1,71.9
111,1,19,3,84.1,42886,19004,3972,10089699,13013371,28275717,5486529,2498,1657,10.5,51.3
112,1,19,4,84.2,122098,62573,9603,11227465,13013371,28275717,5486529,7206,5219,41.6,49.7
113,1,19,5,98.2,29204,22439,2412,10499051,13013371,28275717,5486529,1717,3130,45.3,31.8
114,1,19,6,90.2,99475,52933,16846,9834744,13013371,28275717,5486529,5546,5855,46.4,30.9
115,1,20,1,67.7,16973,12559,3575,7153999,7779696,17800804,4206960,2771,1386,54.4,68.6
116,1,20,2,35.5,25167,21581,6719,4934962,7779696,17800804,4206960,3126,3379,39.8,24.8
117,1,20,3,83.0,48090,35793,10416,6585097,7779696,17800804,4206960,3119,3884,43.5,49.6
118,1,20,4,80.9,40460,21592,5318,7084111,7779696,17800804,4206960,3588,1197,50.4,60.5
119,1,20,5,38.5,23774,20189,4577,5576935,7779696,17800804,4206960,2286,923,74.6,42.4
120,1,20,6,61.7,52634,21732,2702,4852852,7779696,17800804,4206960,3246,2112,49.9,58.0
121,1,21,1,99.0,137237,108742,22171,17899185,22464657,46794641,8610844,20838,7785,28.7,62.6
122,1,21,2,83.6,196832,82345,17460,20950179,22464657,46794641,8610844,18980,5323,59.1,64.6
123,1,21,3,85.3,62568,52762,15319,6585097,22464657,46794641,8610844,8550,5611,33.2,68.6
124,1,21,4,69.5,61331,25676,3821,21108890,22464657,46794641,8610844,2611,3259,36.5,67.3
125,1,21,5,81.9,159749,136440,27006,13907650,22464657,46794641,8610844,31492,22945,52.5,68.7
126,1,21,6,63.8,51177,31552,4457,16987155,22464657,46794641,8610844,4328,2932,64.3,73.4
127,1,22,1,56.0,665,417,78,129967,183668,428448,91145,88,71,27.8,77.5
128,1,22,2,62.3,928,638,101,159029,183668,428448,91145,154,39,50.2,18.4
129,1,22,3,52.6,1601,1068,262,134205,183668,428448,91145,87,123,74.9,100.0
130,1,22,4,92.5,1735,780,224,160464,183668,428448,91145,158,118,22.1,75.5
131,1,22,5,93.1,746,413,73,156706,183668,428448,91145,77,16,26.9,70.2
132,1,22,6,69.1,368,226,69,157898,183668,428448,91145,35,14,50.0,55.4
133,1,23,1,49.7,106672,54833,6936,16643008,22656985,42935575,8185381,12248,9178,2.6,44.0
134,1,23,2,65.0,72091,37502,12005,15957897,22656985,42935575,8185381,6555,2613,56.4,73.2
135,1,23,3,88.7,182555,138075,17654,14961451,22656985,42935575,8185381,8777,23471,54.0,48.7
136,1,23,4,98.2,84112,57592,7104,16127417,22656985,42935575,8185381,7300,6148,41.1,52.9
137,1,23,5,50.7,44553,140485,30882,18197855,22656985,42935575,8185381,21909,10296,28.3,38.7
138,1,23,6,71.9,217927,118395,18672,21338105,22656985,42935575,8185381,6544,13345,50.7,16.2
139,1,24,1,62.8,31840,19131,4302,8836968,11862032,22211111,5025697,3024,1385,28.9,79.6
140,1,24,2,80.8,56401,34005,6361,7520154,11862032,22211111,5025697,8207,2642,75.7,65.2
141,1,24,3,91.5,65020,55236,11677,8255343,11862032,22211111,5025697,4432,5658,52.7,66.9
142,1,24,4,78.0,62119,55124,16861,10811693,11862032,22211111,5025697,2798,3292,54.9,47.3
143,1,24,5,97.2,114459,77344,9538,10571664,11862032,22211111,5025697,16425,4983,37.5,67.4
144,1,24,6,93.2,93944,70073,23935,9725352,11862032,22211111,5025697,6450,8212,48.4,77.1
145,1,25,1,48.4,7273,6209,2036,1150558,1191965,2517576,505315,667,989,57.0,67.3
146,1,25,2,58.7,11824,6049,1129,747388,1191965,2517576,505315,381,407,48.9,77.2
147,1,25,3,69.1,10014,5456,1373,966599,1191965,2517576,505315,1188,271,72.0,60.5
148,1,25,4,93.1,3653,1915,378,1035929,1191965,2517576,505315,374,299,45.2,80.4
149,1,25,5,69.8,9765,6878,2040,1040810,1191965,2517576,505315,762,759,34.1,58.7
150,1,25,6,96.3,9536,5096,1039,1031876,1191965,2517576,505315,624,172,27.6,65.9
151,1,26,1,55.4,238343,143196,42840,59812284,67042224,129928688,29639975,23788,8134,54.9,31.8
152,1,26,2,64.9,217819,104634,12995,53955503,67042224,129928688,29639975,11114,13044,43.6,46.5
153,1,26,3,85.3,664113,321364,105742,40375324,67042224,129928688,29639975,57264,50485,39.5,52.7
154,1,26,4,58.2,562108,248530,68856,53723116,67042224,129928688,29639975,26976,23722,64.3,70.1
155,1,26,5,49.5,523977,455234,138880,52479960,67042224,129928688,29639975,49006,27988,53.3,38.4
156,1,26,6,86.1,576948,494613,153471,57798656,67042224,129928688,29639975,26242,52057,86.4,99.5
157,1,27,1,64.6,36910,29447,4840,4443402,4947180,12509841,1685836,1632,3104,45.3,49.8
158,1,27,2,58.8,52602,32030,4987,3492315,4947180,12509841,1685836,6571,2249,57.0,32.9
159,1,27,3,55.4,56784,41464,13536,4481005,4947180,12509841,1685836,9398,7002,47.1,53.0
160,1,27,4,38.0,30825,24586,4366,3111109,4947180,12509841,1685836,1475,3509,36.6,79.0
161,1,27,5,70.5,24177,21144,5847,3184032,4947180,12509841,1685836,2298,2476,90.5,80.0
162,1,27,6,48.3,56667,34624,5172,6613341,4947180,12509841,1685836,5120,5141,49.9,56.5
163,1,28,1,93.1,239878,121938,29176,28116666,29727320,57343231,11254249,26754,16102,52.3,78.5
164,1,28,2,51.8,249155,143082,38329,23213907,29727320,57343231,11254249,10710,6493,36.6,45.1
